symbol,yahoo,name,sector,exchange,sp500,tier,market_cap
NVDA,NVDA,Nvidia,Information Technology,NASDAQ,1,Mega cap,5419832000000
AAPL,AAPL,Apple Inc.,Information Technology,NASDAQ,1,Mega cap,4572794419400
GOOGL,GOOGL,Alphabet Inc. (Class A),Communication Services,NASDAQ,1,Mega cap,4333089000000
GOOG,GOOG,Alphabet Inc. (Class C),Communication Services,NASDAQ,1,Mega cap,4322938100000
MSFT,MSFT,Microsoft,Information Technology,NASDAQ,1,Mega cap,3712698490045
AMZN,AMZN,Amazon,Consumer Discretionary,NASDAQ,1,Mega cap,2960627349243
TSM,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Information Technology,NYSE,0,Mega cap,2178539519876
AVGO,AVGO,Broadcom,Information Technology,NASDAQ,1,Mega cap,2035102505496
SPCX,SPCX,Space Exploration Technologies Corp.,Information Technology,NASDAQ,0,Mega cap,1754626728479
META,META,Meta Platforms,Communication Services,NASDAQ,1,Mega cap,1508378435823
TSLA,TSLA,"Tesla, Inc.",Consumer Discretionary,NASDAQ,1,Mega cap,1297742282721
BRK.B,BRK-B,Berkshire Hathaway,Financials,NYSE,1,Mega cap,1151253273388
BRK.A,BRK-A,Berkshire Hathaway Inc.,Other,NYSE,0,Mega cap,1147408171038
LLY,LLY,Lilly (Eli),Health Care,NYSE,1,Mega cap,1116176485541
MU,MU,Micron Technology,Information Technology,NASDAQ,1,Mega cap,991121547523
JPM,JPM,JPMorgan Chase,Financials,NYSE,1,Mega cap,957978922163
WMT,WMT,Walmart,Consumer Staples,NASDAQ,1,Mega cap,890111153487
AMD,AMD,Advanced Micro Devices,Information Technology,NASDAQ,1,Mega cap,789073136301
ASML,ASML,ASML Holding N.V.,Industrials,NASDAQ,0,Mega cap,671008300588
V,V,Visa Inc.,Financials,NYSE,1,Mega cap,647698769063
XOM,XOM,ExxonMobil,Energy,NYSE,1,Mega cap,629287006358
JNJ,JNJ,Johnson & Johnson,Health Care,NYSE,1,Mega cap,624742112286
INTC,INTC,Intel,Information Technology,NASDAQ,1,Mega cap,512722600000
MA,MA,Mastercard,Financials,NYSE,1,Mega cap,493149795723
CSCO,CSCO,Cisco,Information Technology,NASDAQ,1,Mega cap,478608411371
BAC,BAC,Bank of America,Financials,NYSE,1,Mega cap,441731914217
ABBV,ABBV,AbbVie,Health Care,NYSE,1,Mega cap,434781536801
AMAT,AMAT,Applied Materials,Information Technology,NASDAQ,1,Mega cap,428055287090
ORCL,ORCL,Oracle Corporation,Information Technology,NYSE,1,Mega cap,423486846420
COST,COST,Costco,Consumer Staples,NASDAQ,1,Mega cap,420338080007
PLTR,PLTR,Palantir Technologies,Information Technology,NASDAQ,1,Mega cap,413177219095
LRCX,LRCX,Lam Research,Information Technology,NASDAQ,1,Mega cap,389365280850
